ID,Severity,Area,Page,Steps,Expected,Actual,RootCause,Fix,Owner,ETA
B-001,S1,Navigation,en/index.html,"Open Portfolio submenu from primary nav with mouse or keyboard","Submenu remains open until user chooses a destination or clicks elsewhere","Menu closed immediately, preventing access to sub-links","No state management or outside-click guard","Shipped in fix/e2e-audit-top3 (debounced toggle)",Carlos Ortega,Done
B-002,S2,Accessibility,en/index.html,"Load page and press Tab","Skip link appears before nav","Focus cycles through full nav with no skip","Skip affordance omitted","Shipped in fix/skip-link",Carlos Ortega,Done
B-003,S1,Performance,en/index.html,"Load hero on 3G","Layout stays stable","Hero shifts downward as image loads","Missing intrinsic sizing on portrait","Width/height + async decoding shipped in fix/e2e-audit-top3",Carlos Ortega,Done
B-004,S2,Performance,en/index.html,"Inspect network waterfall","Only required CSS loads","Bootstrap & Font Awesome block render with unused rules","Legacy reliance on CDN frameworks","Shipped in fix/remove-bootstrap-cdn (utility CSS + SVG icons)",Carlos Ortega,Done
B-005,S2,Accessibility,en/index.html,"Submit contact form fallback","Inline confirmation announced by screen reader","Blocking alert interrupts focus and reading","Alert fallback chosen for speed","Shipped in fix/accessibility-contact-toast (aria-live toast fallback)",Carlos Ortega,Done
B-006,S3,Accessibility,en/index.html,"Navigate headings via screen reader","Distinct headings per thematic group","Consecutive h3 items with no grouping intro","Visual layout skipped secondary headings","Shipped in fix/edutecno-ia (visually hidden h2 grouping)",Carlos Ortega,Done
B-007,S2,Information Architecture,projects/edutecno/index.html,"Land on EduTecno hub","Header/landmarks orient the student","Single container without header/footer or breadcrumb","Minimal MVP structure","Shipped in fix/edutecno-ia (header, breadcrumb, footer)",Carlos Ortega,Done
B-008,S3,Trust & Safety,projects/edutecno/pc2/prueba_consolidacion_2.html,"Scroll to footer","Professional support links","Humorous 'hack the Pentagon' link displayed","Leftover training joke","Shipped in fix/backlog-b008-b009 (EduTecno support mailto footer)",Carlos Ortega,Done
B-009,S3,SEO,en/index.html,"Inspect structured data","Portfolio items described via CreativeWork schema","Only Person schema present","Schema limited to personal profile","Shipped in fix/backlog-b008-b009 (ItemList + CreativeWork JSON-LD)",Carlos Ortega,Done
B-010,S1,Performance,"en/index.html; es/index.html","Load home page on 3G connection","Only essential scripts execute with minimal blocking","Three blocking CDN scripts (jQuery, Popper, Bootstrap) delay render and rely on third-party availability","Legacy dependency on Bootstrap JS stack for nav collapse and smooth scroll","Shipped in fix/remove-legacy-js (vanilla nav collapse + smooth scroll)",Carlos Ortega,Done
B-011,S2,Accessibility,"en/index.html; es/index.html","Submit contact form fallback","Inline confirmation announced in-page via aria-live region","Blocking alert steals focus and is not read by screen readers in context","Fallback relied on window.alert instead of accessible status messaging","Shipped in fix/remove-legacy-js (inline aria-live confirmation + status reset)",Carlos Ortega,Done
